FileName; KnownNumberArrangement; SecondsElapsed; NumberCount; OperationCount
data-set/10000-numbers-5-unordered.txt.csv; unordered;0.659825;13500;45549328
data-set/10000-numbers-6-ordered-ascending.txt.csv; ascending;0.108497;10000;9999
data-set/10000-numbers-6-ordered-descending.txt.csv; descending;0.297245;10000;49993549
data-set/10000-numbers-6-unordered.txt.csv; unordered;0.345036;10000;24789779
data-set/10000-numbers-7-ordered-ascending.txt.csv; ascending;0.113033;10000;9999
data-set/10000-numbers-7-ordered-descending.txt.csv; descending;0.300834;10000;49993494
data-set/10000-numbers-7-unordered.txt.csv; unordered;0.326626;10000;25120819
data-set/10000-numbers-8-ordered-ascending.txt.csv; ascending;0.108563;10000;9999
data-set/10000-numbers-8-ordered-descending.txt.csv; descending;0.303863;10000;49993426
data-set/10000-numbers-8-unordered.txt.csv; unordered;0.342263;10000;25247593
data-set/10000-numbers-9-ordered-ascending.txt.csv; ascending;0.118489;10000;9999
data-set/10000-numbers-9-ordered-descending.txt.csv; descending;0.314306;10000;49993503
data-set/10000-numbers-9-unordered.txt.csv; unordered;0.342102;10000;24945631
data-set/100000-numbers-0-ordered-ascending.txt.csv; ascending;11.399152;100000;99999
data-set/100000-numbers-0-ordered-descending.txt.csv; descending;29.441561;100000;704829822
data-set/100000-numbers-0-unordered.txt.csv; unordered;33.701923;100000;-1799582342
data-set/100000-numbers-1-ordered-ascending.txt.csv; ascending;10.235678;100000;99997
data-set/100000-numbers-1-ordered-descending.txt.csv; descending;27.846901;100000;704830420
data-set/100000-numbers-1-unordered.txt.csv; unordered;32.883301;100000;-1782628573
data-set/100000-numbers-10-ordered-ascending.txt.csv; ascending;10.376348;100000;99997
data-set/100000-numbers-10-ordered-descending.txt.csv; descending;27.697790;100000;704829303
data-set/100000-numbers-10-unordered.txt.csv; unordered;32.637825;100000;-1789508544
data-set/100000-numbers-11-ordered-ascending.txt.csv; ascending;10.506190;100000;99994
data-set/100000-numbers-11-ordered-descending.txt.csv; descending;27.629211;100000;704829839
data-set/100000-numbers-11-unordered.txt.csv; unordered;34.593685;100000;-1793441523
data-set/100000-numbers-12-ordered-ascending.txt.csv; ascending;11.593639;100000;99996
data-set/100000-numbers-12-ordered-descending.txt.csv; descending;29.910179;100000;704830626
data-set/100000-numbers-12-unordered.txt.csv; unordered;33.506836;100000;-1794722284
data-set/100000-numbers-13-ordered-ascending.txt.csv; ascending;10.586024;100000;99997
data-set/100000-numbers-13-ordered-descending.txt.csv; descending;28.069513;100000;704830713
data-set/100000-numbers-13-unordered.txt.csv; unordered;33.174965;100000;-1797359799
data-set/100000-numbers-14-ordered-ascending.txt.csv; ascending;10.235527;100000;99995
data-set/100000-numbers-14-ordered-descending.txt.csv; descending;27.596870;100000;704829615
data-set/100000-numbers-14-unordered.txt.csv; unordered;33.964191;100000;-1790133536
data-set/100000-numbers-15-ordered-ascending.txt.csv; ascending;10.608315;100000;99994
data-set/100000-numbers-15-ordered-descending.txt.csv; descending;27.740976;100000;704829809
data-set/100000-numbers-15-unordered.txt.csv; unordered;33.605568;100000;-1787417607
data-set/100000-numbers-16-ordered-ascending.txt.csv; ascending;10.472320;100000;99998
data-set/100000-numbers-16-ordered-descending.txt.csv; descending;28.378290;100000;704830245
data-set/100000-numbers-16-unordered.txt.csv; unordered;33.331387;100000;-1795819560
data-set/100000-numbers-17-ordered-ascending.txt.csv; ascending;10.698996;100000;99995
data-set/100000-numbers-17-ordered-descending.txt.csv; descending;28.923208;100000;704829797
data-set/100000-numbers-17-unordered.txt.csv; unordered;33.222649;100000;-1787519027
data-set/100000-numbers-18-ordered-ascending.txt.csv; ascending;10.555614;100000;99996
data-set/100000-numbers-18-ordered-descending.txt.csv; descending;28.015509;100000;704829927
data-set/100000-numbers-18-unordered.txt.csv; unordered;33.406807;100000;-1801169438
data-set/100000-numbers-19-ordered-ascending.txt.csv; ascending;10.400849;100000;99995
data-set/100000-numbers-19-ordered-descending.txt.csv; descending;29.916901;100000;704830215
data-set/100000-numbers-19-unordered.txt.csv; unordered;32.710957;100000;-1795196698
data-set/100000-numbers-2-ordered-ascending.txt.csv; ascending;10.561705;100000;99997
data-set/100000-numbers-2-ordered-descending.txt.csv; descending;28.971533;100000;704830542
data-set/100000-numbers-2-unordered.txt.csv; unordered;32.748730;100000;-1803379115
data-set/100000-numbers-20-ordered-ascending.txt.csv; ascending;10.217179;100000;99996
data-set/100000-numbers-20-ordered-descending.txt.csv; descending;28.567181;100000;704830218
data-set/100000-numbers-20-unordered.txt.csv; unordered;34.166832;100000;-1794954214
data-set/100000-numbers-21-ordered-ascending.txt.csv; ascending;10.498037;100000;99998
data-set/100000-numbers-21-ordered-descending.txt.csv; descending;28.008783;100000;704830196
data-set/100000-numbers-21-unordered.txt.csv; unordered;32.401897;100000;-1798789440
data-set/100000-numbers-22-ordered-ascending.txt.csv; ascending;10.496699;100000;99997
data-set/100000-numbers-22-ordered-descending.txt.csv; descending;27.663710;100000;704829948
data-set/100000-numbers-22-unordered.txt.csv; unordered;33.696957;100000;-1794200135
data-set/100000-numbers-23-ordered-ascending.txt.csv; ascending;13.208058;100000;99996
data-set/100000-numbers-23-ordered-descending.txt.csv; descending;31.651150;100000;704829896
data-set/100000-numbers-23-unordered.txt.csv; unordered;35.885464;100000;-1793487618
data-set/100000-numbers-24-ordered-ascending.txt.csv; ascending;10.655684;100000;99995
data-set/100000-numbers-24-ordered-descending.txt.csv; descending;32.652466;100000;704830283
data-set/100000-numbers-24-unordered.txt.csv; unordered;35.549953;100000;-1801562147
data-set/100000-numbers-25-ordered-ascending.txt.csv; ascending;11.203917;100000;99998
data-set/100000-numbers-25-ordered-descending.txt.csv; descending;30.471802;100000;704829870
data-set/100000-numbers-25-unordered.txt.csv; unordered;33.246941;100000;-1794457034
data-set/100000-numbers-26-ordered-ascending.txt.csv; ascending;10.239945;100000;99994
data-set/100000-numbers-26-ordered-descending.txt.csv; descending;26.695248;100000;704830163
data-set/100000-numbers-26-unordered.txt.csv; unordered;31.372358;100000;-1801596015
data-set/100000-numbers-27-ordered-ascending.txt.csv; ascending;10.153299;100000;99997
data-set/100000-numbers-27-ordered-descending.txt.csv; descending;26.645899;100000;704830064
data-set/100000-numbers-27-unordered.txt.csv; unordered;31.243303;100000;-1787043473
data-set/100000-numbers-28-ordered-ascending.txt.csv; ascending;10.091236;100000;99998
data-set/100000-numbers-28-ordered-descending.txt.csv; descending;26.724707;100000;704830252
