FileName, KnownNumberArrangement, SecondsElapsed, NumberCount, OperationCount

FileName, SecondsElapsed, NumberCount, OperationCount

data-set/100-numbers-0-ordered-ascending.txt.csv, 0.000017,100,99
data-set/100-numbers-0-ordered-descending.txt.csv, 0.000053,100,4949
data-set/100-numbers-0-unordered.txt.csv, 0.000037,100,2727
data-set/100-numbers-1-ordered-ascending.txt.csv, 0.000022,100,99
data-set/100-numbers-1-ordered-descending.txt.csv, 0.000054,100,4950
data-set/100-numbers-1-unordered.txt.csv, 0.000045,100,2267
data-set/100-numbers-10-ordered-ascending.txt.csv, 0.000026,100,99
data-set/100-numbers-10-ordered-descending.txt.csv, 0.000039,100,4950
data-set/100-numbers-10-unordered.txt.csv, 0.000036,100,2653
data-set/100-numbers-11-ordered-ascending.txt.csv, 0.000016,100,99
data-set/100-numbers-11-ordered-descending.txt.csv, 0.000038,100,4950
data-set/100-numbers-11-unordered.txt.csv, 0.000034,100,2181
data-set/100-numbers-12-ordered-ascending.txt.csv, 0.000016,100,99
data-set/100-numbers-12-ordered-descending.txt.csv, 0.000038,100,4950
data-set/100-numbers-12-unordered.txt.csv, 0.000051,100,2789
data-set/100-numbers-13-ordered-ascending.txt.csv, 0.000018,100,99
data-set/100-numbers-13-ordered-descending.txt.csv, 0.000054,100,4950
data-set/100-numbers-13-unordered.txt.csv, 0.000037,100,2627
data-set/100-numbers-14-ordered-ascending.txt.csv, 0.000017,100,99
data-set/100-numbers-14-ordered-descending.txt.csv, 0.000039,100,4950
data-set/100-numbers-14-unordered.txt.csv, 0.000038,100,2416
data-set/100-numbers-15-ordered-ascending.txt.csv, 0.000016,100,99
data-set/100-numbers-15-ordered-descending.txt.csv, 0.000038,100,4950
data-set/100-numbers-15-unordered.txt.csv, 0.000036,100,2598
data-set/100-numbers-16-ordered-ascending.txt.csv, 0.000020,100,99
data-set/100-numbers-16-ordered-descending.txt.csv, 0.000038,100,4949
data-set/100-numbers-16-unordered.txt.csv, 0.000038,100,2643
data-set/100-numbers-17-ordered-ascending.txt.csv, 0.000018,100,99
data-set/100-numbers-17-ordered-descending.txt.csv, 0.000040,100,4950
data-set/100-numbers-17-unordered.txt.csv, 0.000035,100,2436
data-set/100-numbers-18-ordered-ascending.txt.csv, 0.000016,100,99
data-set/100-numbers-18-ordered-descending.txt.csv, 0.000038,100,4950
data-set/100-numbers-18-unordered.txt.csv, 0.000037,100,2734
data-set/100-numbers-19-ordered-ascending.txt.csv, 0.000018,100,99
data-set/100-numbers-19-ordered-descending.txt.csv, 0.000039,100,4950
data-set/100-numbers-19-unordered.txt.csv, 0.000040,100,2325
data-set/100-numbers-2-ordered-ascending.txt.csv, 0.000017,100,99
data-set/100-numbers-2-ordered-descending.txt.csv, 0.000041,100,4950
data-set/100-numbers-2-unordered.txt.csv, 0.000037,100,2633
data-set/100-numbers-20-ordered-ascending.txt.csv, 0.000017,100,99
data-set/100-numbers-20-ordered-descending.txt.csv, 0.000052,100,4950
