FileName, KnownNumberArrangement, SecondsElapsed, NumberCount, OperationCount\n
10000-numbers-0-ordered-ascending.txt.csv, 1, 0.000062,10000,9999
10000-numbers-0-ordered-descending.txt.csv, -1, 0.143464,10000,49993475
10000-numbers-0-unordered.txt.csv, 0, 0.070033,10000,24767630
10000-numbers-1-ordered-ascending.txt.csv, 1, 0.000061,10000,9999
10000-numbers-1-ordered-descending.txt.csv, -1, 0.133577,10000,49993465
10000-numbers-1-unordered.txt.csv, 0, 0.068812,10000,24995666
10000-numbers-10-ordered-ascending.txt.csv, 1, 0.000060,10000,9999
10000-numbers-10-ordered-descending.txt.csv, -1, 0.133654,10000,49993496
10000-numbers-10-unordered.txt.csv, 0, 0.082123,10000,24648780
10000-numbers-11-ordered-ascending.txt.csv, 1, 0.000078,10000,9999
10000-numbers-11-ordered-descending.txt.csv, -1, 0.160668,10000,49993490
10000-numbers-11-unordered.txt.csv, 0, 0.066543,10000,25103273
10000-numbers-12-ordered-ascending.txt.csv, 1, 0.000060,10000,9998
10000-numbers-12-ordered-descending.txt.csv, -1, 0.138548,10000,49993477
10000-numbers-12-unordered.txt.csv, 0, 0.096451,10000,25216828
10000-numbers-13-ordered-ascending.txt.csv, 1, 0.000080,10000,9999
10000-numbers-13-ordered-descending.txt.csv, -1, 0.179923,10000,49993537
10000-numbers-13-unordered.txt.csv, 0, 0.069152,10000,24890629
10000-numbers-14-ordered-ascending.txt.csv, 1, 0.000066,10000,9997
10000-numbers-14-ordered-descending.txt.csv, -1, 0.140491,10000,49993494
10000-numbers-14-unordered.txt.csv, 0, 0.110925,10000,24522318
10000-numbers-15-ordered-ascending.txt.csv, 1, 0.000119,10000,9999
10000-numbers-15-ordered-descending.txt.csv, -1, 0.155902,10000,49993446
10000-numbers-15-unordered.txt.csv, 0, 0.068265,10000,24725087
10000-numbers-16-ordered-ascending.txt.csv, 1, 0.000068,10000,9999
10000-numbers-16-ordered-descending.txt.csv, -1, 0.170994,10000,49993511
10000-numbers-16-unordered.txt.csv, 0, 0.090785,10000,25194185
10000-numbers-17-ordered-ascending.txt.csv, 1, 0.000078,10000,9999
10000-numbers-17-ordered-descending.txt.csv, -1, 0.160252,10000,49993474
10000-numbers-17-unordered.txt.csv, 0, 0.100633,10000,24745724
10000-numbers-18-ordered-ascending.txt.csv, 1, 0.000079,10000,9999
10000-numbers-18-ordered-descending.txt.csv, -1, 0.175104,10000,49993430
10000-numbers-18-unordered.txt.csv, 0, 0.068950,10000,24709527
10000-numbers-19-ordered-ascending.txt.csv, 1, 0.000062,10000,9999
10000-numbers-19-ordered-descending.txt.csv, -1, 0.134672,10000,49993492
10000-numbers-19-unordered.txt.csv, 0, 0.068167,10000,24754325
10000-numbers-2-ordered-ascending.txt.csv, 1, 0.000063,10000,9999
10000-numbers-2-ordered-descending.txt.csv, -1, 0.135225,10000,49993434
10000-numbers-2-unordered.txt.csv, 0, 0.068031,10000,24931439
10000-numbers-20-ordered-ascending.txt.csv, 1, 0.000061,10000,9999
10000-numbers-20-ordered-descending.txt.csv, -1, 0.137127,10000,49993418
10000-numbers-20-unordered.txt.csv, 0, 0.067532,10000,24954859
10000-numbers-21-ordered-ascending.txt.csv, 1, 0.000060,10000,9999
10000-numbers-21-ordered-descending.txt.csv, -1, 0.134537,10000,49993485
10000-numbers-21-unordered.txt.csv, 0, 0.071460,10000,24822171
10000-numbers-22-ordered-ascending.txt.csv, 1, 0.000102,10000,9999
10000-numbers-22-ordered-descending.txt.csv, -1, 0.176989,10000,49993429
10000-numbers-22-unordered.txt.csv, 0, 0.073671,10000,25194193
10000-numbers-23-ordered-ascending.txt.csv, 1, 0.000062,10000,9998
10000-numbers-23-ordered-descending.txt.csv, -1, 0.160712,10000,49993431
10000-numbers-23-unordered.txt.csv, 0, 0.089643,10000,25161851
10000-numbers-24-ordered-ascending.txt.csv, 1, 0.000078,10000,9998
10000-numbers-24-ordered-descending.txt.csv, -1, 0.155708,10000,49993459
10000-numbers-24-unordered.txt.csv, 0, 0.084775,10000,25195166
10000-numbers-25-ordered-ascending.txt.csv, 1, 0.000062,10000,9998
10000-numbers-25-ordered-descending.txt.csv, -1, 0.177152,10000,49993432
10000-numbers-25-unordered.txt.csv, 0, 0.080112,10000,25224526
10000-numbers-26-ordered-ascending.txt.csv, 1, 0.000067,10000,9998
