FileName, KnownNumberArrangement, SecondsElapsed, NumberCount, OperationCount\n
../dataset/10000-numbers-4-unordered.txt.csv, unordered, 0.068757,10000,24701920
../dataset/10000-numbers-5-ordered-ascending.txt.csv, ascending, 0.000085,10000,9999
../dataset/10000-numbers-5-ordered-descending.txt.csv, descending, 0.194369,10000,49993545
../dataset/10000-numbers-5-unordered.txt.csv, unordered, 0.082722,10000,25158077
../dataset/10000-numbers-6-ordered-ascending.txt.csv, ascending, 0.000071,10000,9999
../dataset/10000-numbers-6-ordered-descending.txt.csv, descending, 0.142337,10000,49993492
../dataset/10000-numbers-6-unordered.txt.csv, unordered, 0.079888,10000,25011035
../dataset/10000-numbers-7-ordered-ascending.txt.csv, ascending, 0.000128,10000,9998
../dataset/10000-numbers-7-ordered-descending.txt.csv, descending, 0.179749,10000,49993418
../dataset/10000-numbers-7-unordered.txt.csv, unordered, 0.066853,10000,25113117
../dataset/10000-numbers-8-ordered-ascending.txt.csv, ascending, 0.000062,10000,9998
../dataset/10000-numbers-8-ordered-descending.txt.csv, descending, 0.144820,10000,49993491
../dataset/10000-numbers-8-unordered.txt.csv, unordered, 0.098114,10000,24829054
../dataset/10000-numbers-9-ordered-ascending.txt.csv, ascending, 0.000064,10000,9999
../dataset/10000-numbers-9-ordered-descending.txt.csv, descending, 0.178666,10000,49993536
../dataset/10000-numbers-9-unordered.txt.csv, unordered, 0.080661,10000,25198437
../dataset/100000-numbers-0-ordered-ascending.txt.csv, ascending, 0.000695,100000,99996
../dataset/100000-numbers-0-ordered-descending.txt.csv, descending, 14.636060,100000,704829749
../dataset/100000-numbers-0-unordered.txt.csv, unordered, 7.153479,100000,-1788210091
../dataset/100000-numbers-1-ordered-ascending.txt.csv, ascending, 0.000616,100000,99998
../dataset/100000-numbers-1-ordered-descending.txt.csv, descending, 14.645244,100000,704830067
../dataset/100000-numbers-1-unordered.txt.csv, unordered, 7.127191,100000,-1801747756
../dataset/100000-numbers-10-ordered-ascending.txt.csv, ascending, 0.000596,100000,99996
../dataset/100000-numbers-10-ordered-descending.txt.csv, descending, 13.886183,100000,704829972
../dataset/100000-numbers-10-unordered.txt.csv, unordered, 7.171035,100000,-1802507326
../dataset/100000-numbers-11-ordered-ascending.txt.csv, ascending, 0.000643,100000,99997
../dataset/100000-numbers-11-ordered-descending.txt.csv, descending, 14.862290,100000,704830282
../dataset/100000-numbers-11-unordered.txt.csv, unordered, 6.984925,100000,-1801943452
../dataset/100000-numbers-12-ordered-ascending.txt.csv, ascending, 0.000630,100000,99992
../dataset/100000-numbers-12-ordered-descending.txt.csv, descending, 14.473884,100000,704829863
../dataset/100000-numbers-12-unordered.txt.csv, unordered, 7.165622,100000,-1790229465
../dataset/100000-numbers-13-ordered-ascending.txt.csv, ascending, 0.000629,100000,99997
../dataset/100000-numbers-13-ordered-descending.txt.csv, descending, 15.435075,100000,704830061
../dataset/100000-numbers-13-unordered.txt.csv, unordered, 6.960619,100000,-1800457957
../dataset/100000-numbers-14-ordered-ascending.txt.csv, ascending, 0.000637,100000,99998
../dataset/100000-numbers-14-ordered-descending.txt.csv, descending, 13.931931,100000,704830868
